"univ_id","univ_name","cc_in","cc_out","other_in","other_out","priv_in","priv_out","pub_in","pub_out","all_in","all_out","all"
"223232","Baylor University",18,4,110,83,102,155,299,255,529,493,1022
"164924","Boston College",0,0,3,21,27,306,30,173,60,500,560
"201645","Case Western Reserve University",0,0,2,19,16,203,28,182,46,404,450
"126678","Colorado College",1,0,16,132,11,304,91,199,119,635,754
"128902","Connecticut College",0,1,1,72,29,257,32,181,62,510,572
"139658","Emory University",1,0,4,74,16,259,50,244,71,577,648
"115409","Harvey Mudd College",0,0,7,40,24,90,58,140,89,270,359
"173902","Macalester College",1,0,3,56,8,199,28,264,40,519,559
"230959","Middlebury College",0,0,4,31,4,273,13,339,21,643,664
"147767","Northwestern University",0,0,3,84,36,326,129,468,168,878,1046
"204501","Oberlin College",1,1,9,83,25,312,60,418,95,813,908
"120254","Occidental College",8,0,15,43,56,143,82,102,161,288,449
"123165","Scripps College",1,0,13,33,34,77,56,103,104,213,317
"221519","Sewanee",3,0,25,123,29,400,49,143,106,666,772
"167835","Smith College",22,30,15,91,15,149,47,332,99,572,671
"228246","Southern Methodist University",12,2,49,74,75,487,145,266,281,827,1108
"186867","Stevens Institute of Technology",3,2,12,54,41,128,127,168,183,350,533
"216287","Swarthmore College",3,6,1,69,16,192,51,360,71,621,692
"228875","Texas Christian University",11,10,57,126,58,422,112,374,238,922,1160
"168148","Tufts University",2,2,7,57,15,277,39,402,63,736,799
"160755","Tulane University",0,1,23,115,37,391,46,433,106,939,1045
"127060","University of Denver",10,4,21,47,13,258,158,237,202,542,744
"152080","University of Notre Dame",0,0,0,51,24,663,36,367,60,1081,1141
"216597","Villanova University",4,11,5,96,42,575,50,377,101,1048,1149
"168342","Williams College",3,3,10,63,15,185,16,267,44,515,559
